2023-03-20 14:26:50,327 INFO    MainThread:9086 [wandb_setup.py:_flush():76] Configure stats pid to 9086
2023-03-20 14:26:50,328 INFO    MainThread:9086 [wandb_setup.py:_flush():76] Loading settings from /home/splendor/.config/wandb/settings
2023-03-20 14:26:50,328 INFO    MainThread:9086 [wandb_setup.py:_flush():76] Loading settings from /home/splendor/ACTION_HOANG/posec3d_v2/wandb/settings
2023-03-20 14:26:50,328 INFO    MainThread:9086 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-03-20 14:26:50,328 INFO    MainThread:9086 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-03-20 14:26:50,328 INFO    MainThread:9086 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program': '/home/splendor/ACTION_HOANG/posec3d_v2/train.py'}
2023-03-20 14:26:50,328 INFO    MainThread:9086 [wandb_init.py:_log_setup():506] Logging user logs to /home/splendor/ACTION_HOANG/posec3d_v2/wandb/run-20230320_142650-w54oz4sb/logs/debug.log
2023-03-20 14:26:50,328 INFO    MainThread:9086 [wandb_init.py:_log_setup():507] Logging internal logs to /home/splendor/ACTION_HOANG/posec3d_v2/wandb/run-20230320_142650-w54oz4sb/logs/debug-internal.log
2023-03-20 14:26:50,328 INFO    MainThread:9086 [wandb_init.py:init():546] calling init triggers
2023-03-20 14:26:50,328 INFO    MainThread:9086 [wandb_init.py:init():553] wandb.init called with sweep_config: {}
config: {'config': '/home/splendor/ACTION_HOANG/posec3d_v2/configs/slowonly_r50_ntu60_xsub/limb_xview.yaml'}
2023-03-20 14:26:50,328 INFO    MainThread:9086 [wandb_init.py:init():602] starting backend
2023-03-20 14:26:50,328 INFO    MainThread:9086 [wandb_init.py:init():606] setting up manager
2023-03-20 14:26:50,332 INFO    MainThread:9086 [backend.py:_multiprocessing_setup():108] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-03-20 14:26:50,337 INFO    MainThread:9086 [wandb_init.py:init():613] backend started and connected
2023-03-20 14:26:50,345 INFO    MainThread:9086 [wandb_init.py:init():701] updated telemetry
2023-03-20 14:26:50,346 INFO    MainThread:9086 [wandb_init.py:init():741] communicating run to backend with 60.0 second timeout
2023-03-20 14:26:51,134 INFO    MainThread:9086 [wandb_run.py:_on_init():2133] communicating current version
2023-03-20 14:26:52,070 INFO    MainThread:9086 [wandb_run.py:_on_init():2142] got version response 
2023-03-20 14:26:52,070 INFO    MainThread:9086 [wandb_init.py:init():789] starting run threads in backend
2023-03-20 14:26:59,248 INFO    MainThread:9086 [wandb_run.py:_console_start():2114] atexit reg
2023-03-20 14:26:59,248 INFO    MainThread:9086 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-03-20 14:26:59,248 INFO    MainThread:9086 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-03-20 14:26:59,249 INFO    MainThread:9086 [wandb_run.py:_redirect():2059] Redirects installed.
2023-03-20 14:26:59,250 INFO    MainThread:9086 [wandb_init.py:init():831] run started, returning control to user process
